effect,test_type,F_value,t_value,df_numerator,df_denominator,df,sample_size,partial_eta_squared,partial_eta_squared_lower_ci,partial_eta_squared_upper_ci,cohens_d,cohens_d_lower_ci,cohens_d_upper_ci,effect_size_interpretation,observed_power,minimum_detectable_effect_size,outcome_measure
angular_disparity,ANOVA,93.5560977838394,,3.0,693.0,,694,0.1320563067973191,0.0820563067973191,0.1820563067973191,,,,Medium,0.8,0.015574972255554972,accuracy
angular_disparity,ANOVA,659.0258344957956,,3.0,693.0,,694,0.2731380754023949,0.2231380754023949,0.3231380754023949,,,,Large,0.95,0.015574972255554972,RT
0° vs 50°,Pairwise comparison,,6.429815472790234,,,231.0,232,,,,0.422138066839168,0.1619316640576526,0.6823444696206835,Small,0.9999955631419842,0.18470194746051108,accuracy
0° vs 100°,Pairwise comparison,,11.505728552918573,,,231.0,232,,,,0.7553880868679976,0.4890121459314269,1.0217640278045683,Medium,1.0,0.18470194746051108,accuracy
0° vs 150°,Pairwise comparison,,15.509275567210056,,,231.0,232,,,,1.0182338254844012,0.7447091955938685,1.291758455374934,Large,1.0,0.18470194746051108,accuracy
50° vs 100°,Pairwise comparison,,5.3235551041975215,,,231.0,232,,,,0.3495085154321725,0.0901952288952307,0.6088218019691143,Small,0.999583133424261,0.18470194746051108,accuracy
50° vs 150°,Pairwise comparison,,9.410842488784276,,,231.0,232,,,,0.6178520787034885,0.3544275424983499,0.881276614908627,Medium,0.9999999999999375,0.18470194746051108,accuracy
100° vs 150°,Pairwise comparison,,4.142029819878135,,,231.0,232,,,,0.2719375802233985,0.0133949695655596,0.5304801908812373,Small,0.9847979754443132,0.18470194746051108,accuracy
0° vs 50°,Pairwise comparison,,-20.892922085994183,,,231.0,232,,,,-1.3716875355640046,-1.6577106457847572,-1.085664425343252,Large,1.0,0.18470194746051108,RT
0° vs 100°,Pairwise comparison,,-31.26795440204496,,,231.0,232,,,,-2.052841777676492,-2.370837217308689,-1.7348463380442938,Large,1.0,0.18470194746051108,RT
0° vs 150°,Pairwise comparison,,-34.99580890717534,,,231.0,232,,,,-2.2975874163208494,-2.629153638247484,-1.966021194394215,Large,1.0,0.18470194746051108,RT
50° vs 100°,Pairwise comparison,,-16.98884993812466,,,231.0,232,,,,-1.1153726418821333,-1.3920160891166415,-0.8387291946476251,Large,1.0,0.18470194746051108,RT
50° vs 150°,Pairwise comparison,,-19.73845023686624,,,231.0,232,,,,-1.2958927453910256,-1.5789745325233953,-1.012810958258656,Large,1.0,0.18470194746051108,RT
100° vs 150°,Pairwise comparison,,-4.270502418473837,,,231.0,232,,,,-0.2803722195443088,-0.538989406824465,-0.0217550322641528,Small,0.989067928936358,0.18470194746051108,RT
