PROLIFIC_PID,TaskOrder,trial_type,set_size,delay,target_color,orientation_change,condition,VA_response_key,VA_correct,VA_rt,trial_excluded,trial_exclusion_reason
5cd063ce657e300016f6c95a,1.0,practice,5.0,3.0,RED,False,SS5_D3,5.0,1.0,1.4725,False,
5cd063ce657e300016f6c95a,1.0,practice,5.0,1.0,RED,False,SS5_D1,5.0,1.0,1.1152,False,
5cd063ce657e300016f6c95a,1.0,practice,3.0,3.0,RED,True,SS3_D3,6.0,1.0,0.7516,False,
5cd063ce657e300016f6c95a,1.0,practice,5.0,1.0,RED,True,SS5_D1,6.0,1.0,0.8001,False,
5cd063ce657e300016f6c95a,1.0,practice,3.0,1.0,BLUE,True,SS3_D1,6.0,1.0,0.9435,False,
5cd063ce657e300016f6c95a,1.0,practice,3.0,1.0,RED,True,SS3_D1,6.0,1.0,0.7437,False,
5cd063ce657e300016f6c95a,1.0,practice,3.0,1.0,RED,False,SS3_D1,5.0,1.0,0.8416,False,
5cd063ce657e300016f6c95a,1.0,practice,5.0,3.0,BLUE,True,SS5_D3,5.0,0.0,0.9257,False,
5cd063ce657e300016f6c95a,1.0,practice,5.0,3.0,RED,True,SS5_D3,6.0,1.0,0.6032,False,
5cd063ce657e300016f6c95a,1.0,practice,3.0,3.0,BLUE,True,SS3_D3,6.0,1.0,0.7183,False,
5cd063ce657e300016f6c95a,1.0,practice,5.0,3.0,BLUE,False,SS5_D3,5.0,1.0,1.0171,False,
5cd063ce657e300016f6c95a,1.0,practice,5.0,1.0,BLUE,True,SS5_D1,6.0,1.0,1.467,False,
5cd063ce657e300016f6c95a,1.0,practice,3.0,3.0,BLUE,False,SS3_D3,5.0,1.0,0.7699,False,
5cd063ce657e300016f6c95a,1.0,practice,3.0,3.0,RED,False,SS3_D3,5.0,1.0,0.8183,False,
5cd063ce657e300016f6c95a,1.0,practice,5.0,1.0,BLUE,False,SS5_D1,5.0,1.0,1.3008,False,
5cd063ce657e300016f6c95a,1.0,practice,3.0,1.0,BLUE,False,SS3_D1,5.0,1.0,1.0315,False,
5cd063ce657e300016f6c95a,1.0,practice,3.0,1.0,RED,False,SS3_D1,5.0,1.0,0.6535,False,
5cd063ce657e300016f6c95a,1.0,practice,5.0,1.0,RED,True,SS5_D1,6.0,1.0,0.7669,False,
5cd063ce657e300016f6c95a,1.0,practice,5.0,1.0,BLUE,True,SS5_D1,6.0,1.0,0.9882,False,
5cd063ce657e300016f6c95a,1.0,practice,5.0,3.0,RED,True,SS5_D3,5.0,0.0,0.9183,False,
5cd063ce657e300016f6c95a,1.0,practice,5.0,1.0,RED,False,SS5_D1,5.0,1.0,1.1553,False,
5cd063ce657e300016f6c95a,1.0,practice,3.0,3.0,RED,True,SS3_D3,6.0,1.0,0.7504,False,
5cd063ce657e300016f6c95a,1.0,practice,5.0,3.0,RED,False,SS5_D3,6.0,0.0,1.1238,False,
5cd063ce657e300016f6c95a,1.0,practice,3.0,1.0,BLUE,True,SS3_D1,6.0,1.0,0.9487,False,
5cd063ce657e300016f6c95a,1.0,practice,3.0,3.0,BLUE,False,SS3_D3,5.0,1.0,0.8292,False,
5cd063ce657e300016f6c95a,1.0,practice,3.0,1.0,RED,True,SS3_D1,6.0,1.0,0.785,False,
5cd063ce657e300016f6c95a,1.0,practice,3.0,1.0,BLUE,False,SS3_D1,5.0,1.0,1.0559,False,
5cd063ce657e300016f6c95a,1.0,practice,5.0,3.0,BLUE,False,SS5_D3,5.0,1.0,1.367,False,
5cd063ce657e300016f6c95a,1.0,practice,3.0,3.0,BLUE,True,SS3_D3,6.0,1.0,0.9181,False,
5cd063ce657e300016f6c95a,1.0,practice,3.0,3.0,RED,False,SS3_D3,5.0,1.0,1.0702,False,
5cd063ce657e300016f6c95a,1.0,practice,5.0,1.0,BLUE,False,SS5_D1,5.0,1.0,1.0823,False,
5cd063ce657e300016f6c95a,1.0,practice,5.0,3.0,BLUE,True,SS5_D3,6.0,1.0,0.8682,False,
5cd063ce657e300016f6c95a,1.0,test,3.0,3.0,BLUE,False,SS3_D3,6.0,0.0,0.0225,True,RT < 200ms
5cd063ce657e300016f6c95a,1.0,test,3.0,1.0,BLUE,True,SS3_D1,6.0,1.0,0.9365,False,
5cd063ce657e300016f6c95a,1.0,test,5.0,1.0,BLUE,True,SS5_D1,6.0,1.0,1.1429,False,
5cd063ce657e300016f6c95a,1.0,test,5.0,1.0,RED,False,SS5_D1,6.0,0.0,0.9111,False,
5cd063ce657e300016f6c95a,1.0,test,3.0,3.0,RED,False,SS3_D3,5.0,1.0,1.368,False,
5cd063ce657e300016f6c95a,1.0,test,5.0,3.0,RED,True,SS5_D3,5.0,0.0,1.1849,False,
5cd063ce657e300016f6c95a,1.0,test,3.0,3.0,RED,True,SS3_D3,6.0,1.0,2.0517,False,
5cd063ce657e300016f6c95a,1.0,test,3.0,1.0,RED,True,SS3_D1,6.0,1.0,1.12,False,
5cd063ce657e300016f6c95a,1.0,test,5.0,1.0,BLUE,False,SS5_D1,5.0,1.0,1.1015,False,
5cd063ce657e300016f6c95a,1.0,test,5.0,1.0,RED,True,SS5_D1,6.0,1.0,1.417,False,
5cd063ce657e300016f6c95a,1.0,test,3.0,1.0,BLUE,False,SS3_D1,5.0,1.0,1.0075,False,
5cd063ce657e300016f6c95a,1.0,test,5.0,3.0,BLUE,True,SS5_D3,5.0,0.0,1.3519,False,
5cd063ce657e300016f6c95a,1.0,test,3.0,3.0,BLUE,True,SS3_D3,6.0,1.0,1.2518,False,
5cd063ce657e300016f6c95a,1.0,test,3.0,1.0,RED,False,SS3_D1,5.0,1.0,0.9307,False,
5cd063ce657e300016f6c95a,1.0,test,5.0,3.0,BLUE,False,SS5_D3,6.0,0.0,1.6157,False,
5cd063ce657e300016f6c95a,1.0,test,5.0,3.0,RED,False,SS5_D3,5.0,1.0,1.3662,False,
5cd063ce657e300016f6c95a,1.0,test,5.0,3.0,BLUE,False,SS5_D3,5.0,1.0,1.1337,False,
5cd063ce657e300016f6c95a,1.0,test,3.0,1.0,RED,False,SS3_D1,5.0,1.0,1.0677,False,
5cd063ce657e300016f6c95a,1.0,test,3.0,3.0,RED,False,SS3_D3,5.0,1.0,0.9546,False,
5cd063ce657e300016f6c95a,1.0,test,3.0,3.0,BLUE,True,SS3_D3,6.0,1.0,0.8325,False,
5cd063ce657e300016f6c95a,1.0,test,5.0,3.0,RED,False,SS5_D3,5.0,1.0,1.8741,False,
5cd063ce657e300016f6c95a,1.0,test,5.0,3.0,BLUE,True,SS5_D3,6.0,1.0,1.0516,False,
5cd063ce657e300016f6c95a,1.0,test,3.0,3.0,BLUE,False,SS3_D3,5.0,1.0,1.0337,False,
5cd063ce657e300016f6c95a,1.0,test,5.0,1.0,RED,True,SS5_D1,6.0,1.0,1.6504,False,
5cd063ce657e300016f6c95a,1.0,test,3.0,1.0,BLUE,True,SS3_D1,6.0,1.0,0.9097,False,
5cd063ce657e300016f6c95a,1.0,test,3.0,3.0,RED,True,SS3_D3,6.0,1.0,1.1398,False,
5cd063ce657e300016f6c95a,1.0,test,3.0,1.0,BLUE,False,SS3_D1,5.0,1.0,0.95,False,
5cd063ce657e300016f6c95a,1.0,test,5.0,3.0,RED,True,SS5_D3,5.0,0.0,1.0177,False,
5cd063ce657e300016f6c95a,1.0,test,5.0,1.0,RED,False,SS5_D1,5.0,1.0,1.2494,False,
5cd063ce657e300016f6c95a,1.0,test,3.0,1.0,RED,True,SS3_D1,5.0,0.0,0.903,False,
5cd063ce657e300016f6c95a,1.0,test,5.0,1.0,BLUE,False,SS5_D1,6.0,0.0,1.3841,False,
5cd063ce657e300016f6c95a,1.0,test,5.0,1.0,BLUE,True,SS5_D1,6.0,1.0,1.5171,False,
5cd063ce657e300016f6c95a,1.0,test,5.0,3.0,RED,False,SS5_D3,5.0,1.0,1.3837,False,
