PROLIFIC_PID,overall_accuracy,practice_accuracy,max_consecutive_identical,percent_fast_trials,rt_sd,percent_missing_ss3_d1,percent_missing_ss3_d3,percent_missing_ss5_d1,percent_missing_ss5_d3,time_taken_minutes,excluded,exclusion_reason,n_excluded_trials_too_fast,n_excluded_trials_too_slow,n_excluded_trials_outlier
5cd063ce657e300016f6c95a,0.8214285714285714,0.90625,9.0,0.8928571428571428,0.3449484217956712,0.0,0.0,0.0,0.0,49.81666666666667,False,,1,0,2
678e92010390e1c202944292,0.7142857142857143,0.8064516129032258,5.0,0.0,0.38317928374035765,0.0,0.0,0.0,0.0,25.73333333333333,False,,0,0,2
64013a8e233aaa42388c821f,0.7678571428571429,0.84375,7.0,0.0,0.6127156878002853,0.0,0.0,0.0,0.0,35.1,False,,0,0,4
676379302839a2e46a4d6de5,0.6126126126126126,0.53125,8.0,0.0,1.0818554919403243,0.0,0.0,0.0,0.0,24.016666666666666,False,,0,0,5
671fbc510bb94767d36db746,0.6517857142857143,0.5,12.0,0.8928571428571428,0.6919867702977079,0.0,0.0,0.0,0.0,36.48333333333333,True,More than 10 consecutive identical responses,0,0,0
6754d95f656838004bc46eed,0.8303571428571429,0.625,7.0,0.0,0.9663797645678183,0.0,0.0,0.0,0.0,49.4,False,,0,0,6
6766b76b0b5bf9820e277b72,0.5833333333333334,0.53125,10.0,0.9259259259259258,1.0744496006432456,0.0,0.0,0.0,0.0,46.06666666666667,True,Overall accuracy < 60%,0,0,0
672ba9e5dbe3b9649ad3864d,0.75,0.6774193548387096,7.0,0.0,0.5477959502942531,0.0,0.0,0.0,0.0,60.38333333333333,False,,0,0,3
64012a2623351894f2917605,0.7946428571428571,0.53125,6.0,0.0,0.2470803527028468,0.0,0.0,0.0,0.0,35.2,False,,0,0,4
675ed2ef6a6a6ae2ce682c30,0.5,0.5,10.0,0.8928571428571428,0.41120170909159115,0.0,0.0,0.0,0.0,28.73333333333333,True,Overall accuracy < 60%,0,0,0
6761e9f88b9ec3f7f3d16c01,0.5,0.5625,12.0,0.8928571428571428,0.7414282607441639,0.0,0.0,0.0,0.0,44.75,True,Overall accuracy < 60%; More than 10 consecutive identical responses,0,0,0
5e76d2652d882b2481d65066,0.7946428571428571,0.84375,6.0,0.0,1.15439904534788,0.0,0.0,0.0,0.0,33.55,False,,0,0,6
671469967e2a4f2e612e3846,0.5267857142857143,0.375,7.0,0.0,0.478758977213533,0.0,0.0,0.0,0.0,32.11666666666667,True,Overall accuracy < 60%; Practice accuracy < 50%,0,0,0
60a48adfe091e410f4eaba34,0.6696428571428571,0.71875,8.0,0.0,0.49626547146586847,0.0,0.0,0.0,0.0,36.15,False,,0,0,2
65c181b4de219e8c75ae4fb8,0.5446428571428571,0.84375,5.0,0.0,0.40628992059179264,0.0,0.0,0.0,0.0,35.8,True,Overall accuracy < 60%,0,0,0
62964d27c2b2866faa677493,0.44144144144144143,0.625,7.0,39.63963963963964,0.5352222334929905,0.0,0.0,0.0,0.0,42.48333333333333,True,Overall accuracy < 60%; More than 10% of trials with RT < 200ms,0,0,0
651d64f5eb4ac4993ecc5abd,0.7410714285714286,0.6875,6.0,0.0,0.5373109972264744,0.0,0.0,0.0,0.0,26.266666666666666,False,,0,0,3
62861bcc5f0edf6340c914df,0.9642857142857143,0.875,5.0,0.0,0.27782536431331045,0.0,0.0,0.0,0.0,29.766666666666666,False,,0,0,3
6773f03382962d5d8c2ca38a,0.5892857142857143,0.71875,15.0,1.7857142857142856,0.7428548456605532,0.0,0.0,0.0,0.0,53.71666666666667,True,Overall accuracy < 60%; More than 10 consecutive identical responses,0,0,0
6721aeda53346fd7b593efd7,0.875,0.6875,7.0,0.0,0.42972911990710955,0.0,0.0,0.0,0.0,32.13333333333333,False,,0,0,3
66bab7aa032ffe5aeb0a3834,0.5625,0.40625,11.0,0.0,0.6953908057080481,0.0,0.0,0.0,0.0,55.73333333333333,True,Overall accuracy < 60%; More than 10 consecutive identical responses; Practice accuracy < 50%,0,0,0
664f408259a7d76b52e2ae25,0.8839285714285714,0.71875,6.0,0.0,0.3913212175593062,0.0,0.0,0.0,0.0,27.366666666666667,False,,0,0,3
62ffa989dbd072768cd2a14e,0.4857142857142857,0.5625,25.0,1.9047619047619049,1.6227714020387238,0.0,0.0,0.0,0.0,86.15,True,Overall accuracy < 60%; More than 10 consecutive identical responses,0,0,0
678fa1020e5289062a7e76f0,0.5803571428571429,0.40625,9.0,0.0,1.23824467453027,0.0,0.0,0.0,0.0,47.73333333333333,True,Overall accuracy < 60%; Practice accuracy < 50%,0,0,0
67896c4807b59990758d8491,0.5045045045045045,0.3548387096774194,18.0,2.7027027027027026,1.0648566696020965,0.0,0.0,0.0,0.0,58.5,True,Overall accuracy < 60%; More than 10 consecutive identical responses; Practice accuracy < 50%,0,0,0
6699571ba83beb19c5acbfef,0.7142857142857143,0.6875,7.0,0.0,0.6045183687634795,0.0,0.0,0.0,0.0,37.28333333333333,False,,0,0,6
6788f11866ac65cc607b3c6a,0.49107142857142855,0.4838709677419355,11.0,0.0,0.6794351832059397,0.0,0.0,0.0,0.0,61.66666666666666,True,Overall accuracy < 60%; More than 10 consecutive identical responses; Practice accuracy < 50%,0,0,0
672d053f3563ff089759a66f,0.6875,0.6875,16.0,0.0,0.7343136804526192,0.0,0.0,0.0,0.0,93.31666666666666,True,More than 10 consecutive identical responses,0,0,0
61233706eb1ec697c18d5aef,0.625,0.40625,4.0,25.0,1.6978932815509091,0.0,,0.0,0.0,20.416666666666668,True,More than 10% of trials with RT < 200ms; Practice accuracy < 50%,0,0,0
67822f906480ae6f11bf6942,0.5225225225225225,0.2903225806451613,7.0,0.0,1.1337401829594833,0.0,0.0,0.0,0.0,41.7,True,Overall accuracy < 60%; Practice accuracy < 50%,0,0,0
669adbdb7e97d6e53cb2d924,0.8571428571428571,0.65625,10.0,0.0,0.4503633374267917,0.0,0.0,0.0,0.0,36.25,False,,0,0,3
67343fb98c1f4f89ea821878,0.6306306306306306,0.78125,6.0,0.9009009009009009,1.131798569912807,0.0,0.0,0.0,0.0,78.35,False,,1,0,4
6786d027b56713ac675fbbb1,0.7297297297297297,0.78125,12.0,0.0,1.0856220769233453,0.0,0.0,0.0,0.0,45.016666666666666,True,More than 10 consecutive identical responses,0,0,0
676fac81dc17021dfb5fad67,0.7678571428571429,0.6875,7.0,0.0,0.6711713511410504,0.0,0.0,0.0,0.0,42.75,False,,0,0,4
67880f3fcfe89c43f375f668,0.4642857142857143,0.375,8.0,58.03571428571429,1.361648740952649,0.0,0.0,0.0,0.0,24.416666666666668,True,Overall accuracy < 60%; More than 10% of trials with RT < 200ms; Practice accuracy < 50%,0,0,0
5d634b27e5f92f0017196a3f,0.5495495495495496,0.5,8.0,2.7027027027027026,1.3633682259175037,0.0,0.0,0.0,0.0,41.31666666666667,True,Overall accuracy < 60%,0,0,0
55ec49b67480920010aaa4e8,0.5267857142857143,0.5,6.0,0.0,0.7065580790495157,0.0,0.0,0.0,0.0,24.7,True,Overall accuracy < 60%,0,0,0
612039d9400fae9545b3c5a8,0.8475336322869955,0.7395833333333334,7.0,0.0,0.5716230974239038,0.0,0.0,0.0,0.0,57.16666666666666,False,,0,0,7
65d863e56337aa59292ccd66,0.7678571428571429,0.625,11.0,0.0,0.2801096166889801,0.0,0.0,0.0,0.0,27.83333333333333,True,More than 10 consecutive identical responses,0,0,0
6727e10a76e80949064e1e6c,0.49107142857142855,0.59375,7.0,0.0,0.9303024880292591,0.0,0.0,0.0,0.0,47.85,True,Overall accuracy < 60%,0,0,0
6110b58d7063061e373e2fbc,0.6875,0.875,9.0,0.0,0.7695602074513308,0.0,0.0,0.0,0.0,39.45,False,,0,0,5
67358110193306101974db30,0.8214285714285714,0.625,8.0,0.0,0.5463846252170574,0.0,0.0,0.0,0.0,50.65,False,,0,0,4
678a7c0fa6dada0f1ffae746,0.5225225225225225,0.34375,13.0,1.8018018018018018,1.4242865960291047,0.0,0.0,0.0,0.0,59.266666666666666,True,Overall accuracy < 60%; More than 10 consecutive identical responses; Practice accuracy < 50%,0,0,0
676a8044ed42478d4ef6493e,0.4387755102040816,0.5625,20.0,5.1020408163265305,1.9208938839645868,0.0,0.0,0.0,0.0,60.91666666666666,True,Overall accuracy < 60%; More than 10 consecutive identical responses,0,0,0
60fdc934e81b93f92f561d76,0.8392857142857143,0.625,8.0,0.0,0.5891031860616818,0.0,0.0,0.0,0.0,30.95,False,,0,0,3
67147a6a2c208253099ab82b,0.6696428571428571,0.625,8.0,0.0,0.31398829005782414,0.0,0.0,0.0,0.0,32.45,False,,0,0,2
6127017baee75f10aa174139,0.5267857142857143,0.625,11.0,0.0,0.8437713779664598,0.0,0.0,0.0,0.0,34.4,True,Overall accuracy < 60%; More than 10 consecutive identical responses,0,0,0
