PROLIFIC_PID,"The exact contour of face, head, shoulders and body.","Characteristic poses of head, attitudes of body etc.","The precise carriage, length of step, etc. in walking.",The different colours worn in some familiar clothes.,The sun is rising above the horizon into a hazy sky.,The sky clears and surrounds the sun with blueness.,"Clouds. A storm blows up, with flashes of lightening.",A rainbow appears.,The overall appearance of the shop from the opposite side of the road.,"A window display including colours, shape and details of individual items for sale.","You are near the entrance. The colour, shape and details of the door.",You enter the shop and go to the counter. The counter assistant serves you. Money changes hands.,The contours of the landscape.,The colour and shape of the trees.,The colour and shape of the lake.,A strong wind blows on the tree and on the lake causing waves.,"You observe the heavy traffic travelling at maximum speed around your car. The overall appearance of vehicles, their colours, sizes and shapes.",Your car accelerates to overtake the traffic directly in front of you. You see and urgent expression on the face of the driver and the people in the other vehicles as you pass.,A large truck is flashing its headlight directly behind. Your car quickly moves over to let the truck pass. The driver signals with a friendly wave.,You see a broken-down vehicle beside the road. Its lights are flashing. The driver is looking concerned and she is using a mobile phone.,"The overall appearance and colour of the water, surf, and sky.",Bathers are swimming and splashing about in the water. Some are playing with a brightly coloured beach ball.,An ocean liner crosses the horizon. It leaves a trail of smoke in the blue sky.,"A beautiful air balloon appears with four people aboard. The balloon drifts past you, almost directly overhead. The passengers wave and smile. You wave and smile back at them.",The overall appearance of the station viewed from in front of the main entrance.,"You walk into the station. The colour, shape and details of the entrance hall.","You approach the ticket office, go to a vacant counter and purchase your ticket.",You walk to the platform and observe other passengers and the railway lines. A train arrives. You climb aboard.,The overall appearance and design of the garden.,The colour and shape of the bushes and shrubs.,The colour and appearance of the flowers.,Some birds fly down onto the lawn and start pecking for food.,item1_score,item2_score,item3_score,item4_score,item5_score,item6_score,item7_score,item8_score,item9_score,item10_score,item11_score,item12_score,item13_score,item14_score,item15_score,item16_score,item17_score,item18_score,item19_score,item20_score,item21_score,item22_score,item23_score,item24_score,item25_score,item26_score,item27_score,item28_score,item29_score,item30_score,item31_score,item32_score,imputed_items
649d257f5e8bfe6ee264e160,Perfectly clear and as vivid as normal vision …………………………………5,Perfectly clear and as vivid as normal vision …………………………………5,Moderately clear and vivid ………………………………………………………..3,Moderately clear and vivid ………………………………………………………..3,Perfectly clear and as vivid as normal vision …………………………………5,Perfectly clear and as vivid as normal vision …………………………………5,Perfectly clear and as vivid as normal vision …………………………………5,Perfectly clear and as vivid as normal vision …………………………………5,Moderately clear and vivid ………………………………………………………..3,Clear and reasonably vivid ………………………………………………………..4,Perfectly clear and as vivid as normal vision …………………………………5,Clear and reasonably vivid ………………………………………………………..4,Moderately clear and vivid ………………………………………………………..3,Clear and reasonably vivid ………………………………………………………..4,Clear and reasonably vivid ………………………………………………………..4,Perfectly clear and as vivid as normal vision …………………………………5,Clear and reasonably vivid ………………………………………………………..4,Moderately clear and vivid ………………………………………………………..3,Moderately clear and vivid ………………………………………………………..3,Moderately clear and vivid ………………………………………………………..3,Perfectly clear and as vivid as normal vision …………………………………5,Clear and reasonably vivid ………………………………………………………..4,Moderately clear and vivid ………………………………………………………..3,Moderately clear and vivid ………………………………………………………..3,Moderately clear and vivid ………………………………………………………..3,Vague and dim ……………………………………………………………………….2,Vague and dim ……………………………………………………………………….2,Moderately clear and vivid ………………………………………………………..3,Clear and reasonably vivid ………………………………………………………..4,Moderately clear and vivid ………………………………………………………..3,Moderately clear and vivid ………………………………………………………..3,Clear and reasonably vivid ………………………………………………………..4,5,5,3,3,5,5,5,5,3,4,5,4,3,4,4,5,4,3,3,3,5,4,3,3,3.0,2.0,2.0,3.0,4.0,3.0,3.0,4.0,
6778cbf3f0597689c7b5cb4a,Perfectly clear and as vivid as normal vision …………………………………5,Perfectly clear and as vivid as normal vision …………………………………5,Perfectly clear and as vivid as normal vision …………………………………5,Perfectly clear and as vivid as normal vision …………………………………5,Clear and reasonably vivid ………………………………………………………..4,Moderately clear and vivid ………………………………………………………..3,Clear and reasonably vivid ………………………………………………………..4,Clear and reasonably vivid ………………………………………………………..4,Perfectly clear and as vivid as normal vision …………………………………5,Perfectly clear and as vivid as normal vision …………………………………5,Perfectly clear and as vivid as normal vision …………………………………5,Perfectly clear and as vivid as normal vision …………………………………5,Clear and reasonably vivid ………………………………………………………..4,Clear and reasonably vivid ………………………………………………………..4,Clear and reasonably vivid ………………………………………………………..4,Clear and reasonably vivid ………………………………………………………..4,Perfectly clear and as vivid as normal vision …………………………………5,Clear and reasonably vivid ………………………………………………………..4,Perfectly clear and as vivid as normal vision …………………………………5,Perfectly clear and as vivid as normal vision …………………………………5,Perfectly clear and as vivid as normal vision …………………………………5,Perfectly clear and as vivid as normal vision …………………………………5,Perfectly clear and as vivid as normal vision …………………………………5,Vague and dim ……………………………………………………………………….2,Perfectly clear and as vivid as normal vision …………………………………5,Perfectly clear and as vivid as normal vision …………………………………5,Perfectly clear and as vivid as normal vision …………………………………5,Perfectly clear and as vivid as normal vision …………………………………5,Perfectly clear and as vivid as normal vision …………………………………5,Perfectly clear and as vivid as normal vision …………………………………5,Perfectly clear and as vivid as normal vision …………………………………5,Perfectly clear and as vivid as normal vision …………………………………5,5,5,5,5,4,3,4,4,5,5,5,5,4,4,4,4,5,4,5,5,5,5,5,2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,
673594215b1a0b92d5835525,Perfectly clear and as vivid as normal vision …………………………………5,Perfectly clear and as vivid as normal vision …………………………………5,Perfectly clear and as vivid as normal vision …………………………………5,Perfectly clear and as vivid as normal vision …………………………………5,Perfectly clear and as vivid as normal vision …………………………………5,Perfectly clear and as vivid as normal vision …………………………………5,Perfectly clear and as vivid as normal vision …………………………………5,Perfectly clear and as vivid as normal vision …………………………………5,Clear and reasonably vivid ………………………………………………………..4,Clear and reasonably vivid ………………………………………………………..4,Perfectly clear and as vivid as normal vision …………………………………5,Perfectly clear and as vivid as normal vision …………………………………5,Clear and reasonably vivid ………………………………………………………..4,Clear and reasonably vivid ………………………………………………………..4,Clear and reasonably vivid ………………………………………………………..4,Perfectly clear and as vivid as normal vision …………………………………5,Clear and reasonably vivid ………………………………………………………..4,Moderately clear and vivid ………………………………………………………..3,Clear and reasonably vivid ………………………………………………………..4,Moderately clear and vivid ………………………………………………………..3,Perfectly clear and as vivid as normal vision …………………………………5,Clear and reasonably vivid ………………………………………………………..4,Clear and reasonably vivid ………………………………………………………..4,Clear and reasonably vivid ………………………………………………………..4,Perfectly clear and as vivid as normal vision …………………………………5,Perfectly clear and as vivid as normal vision …………………………………5,Perfectly clear and as vivid as normal vision …………………………………5,Perfectly clear and as vivid as normal vision …………………………………5,Clear and reasonably vivid ………………………………………………………..4,Clear and reasonably vivid ………………………………………………………..4,Clear and reasonably vivid ………………………………………………………..4,Clear and reasonably vivid ………………………………………………………..4,5,5,5,5,5,5,5,5,4,4,5,5,4,4,4,5,4,3,4,3,5,4,4,4,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,
672a89bc5e3d67a9fdbdf803,Moderately clear and vivid ………………………………………………………..3,Clear and reasonably vivid ………………………………………………………..4,Perfectly clear and as vivid as normal vision …………………………………5,Perfectly clear and as vivid as normal vision …………………………………5,Clear and reasonably vivid ………………………………………………………..4,Moderately clear and vivid ………………………………………………………..3,Perfectly clear and as vivid as normal vision …………………………………5,Vague and dim ……………………………………………………………………….2,Clear and reasonably vivid ………………………………………………………..4,Clear and reasonably vivid ………………………………………………………..4,Clear and reasonably vivid ………………………………………………………..4,Clear and reasonably vivid ………………………………………………………..4,Moderately clear and vivid ………………………………………………………..3,Clear and reasonably vivid ………………………………………………………..4,Clear and reasonably vivid ………………………………………………………..4,Moderately clear and vivid ………………………………………………………..3,Vague and dim ……………………………………………………………………….2,Moderately clear and vivid ………………………………………………………..3,Moderately clear and vivid ………………………………………………………..3,Vague and dim ……………………………………………………………………….2,Clear and reasonably vivid ………………………………………………………..4,Clear and reasonably vivid ………………………………………………………..4,Moderately clear and vivid ………………………………………………………..3,"No image at all, you only “know” that you are thinking of the object ….1",Moderately clear and vivid ………………………………………………………..3,Perfectly clear and as vivid as normal vision …………………………………5,Perfectly clear and as vivid as normal vision …………………………………5,Moderately clear and vivid ………………………………………………………..3,Perfectly clear and as vivid as normal vision …………………………………5,Clear and reasonably vivid ………………………………………………………..4,Perfectly clear and as vivid as normal vision …………………………………5,Vague and dim ……………………………………………………………………….2,3,4,5,5,4,3,5,2,4,4,4,4,3,4,4,3,2,3,3,2,4,4,3,1,3.0,5.0,5.0,3.0,5.0,4.0,5.0,2.0,
5d76d2f7daf4bf00164d585b,Clear and reasonably vivid ………………………………………………………..4,Clear and reasonably vivid ………………………………………………………..4,Moderately clear and vivid ………………………………………………………..3,Perfectly clear and as vivid as normal vision …………………………………5,Moderately clear and vivid ………………………………………………………..3,Perfectly clear and as vivid as normal vision …………………………………5,Perfectly clear and as vivid as normal vision …………………………………5,Perfectly clear and as vivid as normal vision …………………………………5,Clear and reasonably vivid ………………………………………………………..4,Perfectly clear and as vivid as normal vision …………………………………5,Perfectly clear and as vivid as normal vision …………………………………5,Clear and reasonably vivid ………………………………………………………..4,Moderately clear and vivid ………………………………………………………..3,Moderately clear and vivid ………………………………………………………..3,Moderately clear and vivid ………………………………………………………..3,Moderately clear and vivid ………………………………………………………..3,Moderately clear and vivid ………………………………………………………..3,Moderately clear and vivid ………………………………………………………..3,Vague and dim ……………………………………………………………………….2,Moderately clear and vivid ………………………………………………………..3,Vague and dim ……………………………………………………………………….2,Moderately clear and vivid ………………………………………………………..3,Moderately clear and vivid ………………………………………………………..3,Clear and reasonably vivid ………………………………………………………..4,Clear and reasonably vivid ………………………………………………………..4,Clear and reasonably vivid ………………………………………………………..4,Clear and reasonably vivid ………………………………………………………..4,Moderately clear and vivid ………………………………………………………..3,Clear and reasonably vivid ………………………………………………………..4,Moderately clear and vivid ………………………………………………………..3,Clear and reasonably vivid ………………………………………………………..4,Clear and reasonably vivid ………………………………………………………..4,4,4,3,5,3,5,5,5,4,5,5,4,3,3,3,3,3,3,2,3,2,3,3,4,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,
65d563ecf8df20ade2f17888,"No image at all, you only “know” that you are thinking of the object ….1","No image at all, you only “know” that you are thinking of the object ….1","No image at all, you only “know” that you are thinking of the object ….1","No image at all, you only “know” that you are thinking of the object ….1",Moderately clear and vivid ………………………………………………………..3,Vague and dim ……………………………………………………………………….2,"No image at all, you only “know” that you are thinking of the object ….1","No image at all, you only “know” that you are thinking of the object ….1","No image at all, you only “know” that you are thinking of the object ….1","No image at all, you only “know” that you are thinking of the object ….1","No image at all, you only “know” that you are thinking of the object ….1","No image at all, you only “know” that you are thinking of the object ….1","No image at all, you only “know” that you are thinking of the object ….1","No image at all, you only “know” that you are thinking of the object ….1","No image at all, you only “know” that you are thinking of the object ….1","No image at all, you only “know” that you are thinking of the object ….1","No image at all, you only “know” that you are thinking of the object ….1","No image at all, you only “know” that you are thinking of the object ….1","No image at all, you only “know” that you are thinking of the object ….1","No image at all, you only “know” that you are thinking of the object ….1","No image at all, you only “know” that you are thinking of the object ….1","No image at all, you only “know” that you are thinking of the object ….1","No image at all, you only “know” that you are thinking of the object ….1","No image at all, you only “know” that you are thinking of the object ….1","No image at all, you only “know” that you are thinking of the object ….1","No image at all, you only “know” that you are thinking of the object ….1","No image at all, you only “know” that you are thinking of the object ….1","No image at all, you only “know” that you are thinking of the object ….1","No image at all, you only “know” that you are thinking of the object ….1","No image at all, you only “know” that you are thinking of the object ….1","No image at all, you only “know” that you are thinking of the object ….1","No image at all, you only “know” that you are thinking of the object ….1",1,1,1,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
671609ab4a3f2c6c76dfe9d8,Clear and reasonably vivid ………………………………………………………..4,Moderately clear and vivid ………………………………………………………..3,Moderately clear and vivid ………………………………………………………..3,Vague and dim ……………………………………………………………………….2,Clear and reasonably vivid ………………………………………………………..4,Moderately clear and vivid ………………………………………………………..3,Moderately clear and vivid ………………………………………………………..3,Clear and reasonably vivid ………………………………………………………..4,Clear and reasonably vivid ………………………………………………………..4,Moderately clear and vivid ………………………………………………………..3,Moderately clear and vivid ………………………………………………………..3,Clear and reasonably vivid ………………………………………………………..4,Clear and reasonably vivid ………………………………………………………..4,Clear and reasonably vivid ………………………………………………………..4,Moderately clear and vivid ………………………………………………………..3,Vague and dim ……………………………………………………………………….2,Moderately clear and vivid ………………………………………………………..3,Vague and dim ……………………………………………………………………….2,Vague and dim ……………………………………………………………………….2,Moderately clear and vivid ………………………………………………………..3,Clear and reasonably vivid ………………………………………………………..4,Moderately clear and vivid ………………………………………………………..3,Vague and dim ……………………………………………………………………….2,Moderately clear and vivid ………………………………………………………..3,Moderately clear and vivid ………………………………………………………..3,Moderately clear and vivid ………………………………………………………..3,Moderately clear and vivid ………………………………………………………..3,Clear and reasonably vivid ………………………………………………………..4,Clear and reasonably vivid ………………………………………………………..4,Moderately clear and vivid ………………………………………………………..3,Moderately clear and vivid ………………………………………………………..3,Vague and dim ……………………………………………………………………….2,4,3,3,2,4,3,3,4,4,3,3,4,4,4,3,2,3,2,2,3,4,3,2,3,3.0,3.0,3.0,4.0,4.0,3.0,3.0,2.0,
6501c0a2e788b5556c24569d,Moderately clear and vivid ………………………………………………………..3,Vague and dim ……………………………………………………………………….2,Vague and dim ……………………………………………………………………….2,Moderately clear and vivid ………………………………………………………..3,Moderately clear and vivid ………………………………………………………..3,Vague and dim ……………………………………………………………………….2,Moderately clear and vivid ………………………………………………………..3,Vague and dim ……………………………………………………………………….2,Moderately clear and vivid ………………………………………………………..3,Vague and dim ……………………………………………………………………….2,Vague and dim ……………………………………………………………………….2,Moderately clear and vivid ………………………………………………………..3,Moderately clear and vivid ………………………………………………………..3,Moderately clear and vivid ………………………………………………………..3,Clear and reasonably vivid ………………………………………………………..4,Vague and dim ……………………………………………………………………….2,Vague and dim ……………………………………………………………………….2,Vague and dim ……………………………………………………………………….2,Moderately clear and vivid ………………………………………………………..3,Vague and dim ……………………………………………………………………….2,Moderately clear and vivid ………………………………………………………..3,Moderately clear and vivid ………………………………………………………..3,"No image at all, you only “know” that you are thinking of the object ….1",Vague and dim ……………………………………………………………………….2,Moderately clear and vivid ………………………………………………………..3,Moderately clear and vivid ………………………………………………………..3,Vague and dim ……………………………………………………………………….2,Moderately clear and vivid ………………………………………………………..3,Moderately clear and vivid ………………………………………………………..3,Moderately clear and vivid ………………………………………………………..3,Moderately clear and vivid ………………………………………………………..3,Moderately clear and vivid ………………………………………………………..3,3,2,2,3,3,2,3,2,3,2,2,3,3,3,4,2,2,2,3,2,3,3,1,2,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,
6788f11866ac65cc607b3c6a,Perfectly clear and as vivid as normal vision …………………………………5,Perfectly clear and as vivid as normal vision …………………………………5,Clear and reasonably vivid ………………………………………………………..4,Moderately clear and vivid ………………………………………………………..3,Perfectly clear and as vivid as normal vision …………………………………5,Perfectly clear and as vivid as normal vision …………………………………5,Perfectly clear and as vivid as normal vision …………………………………5,Perfectly clear and as vivid as normal vision …………………………………5,Perfectly clear and as vivid as normal vision …………………………………5,Clear and reasonably vivid ………………………………………………………..4,Perfectly clear and as vivid as normal vision …………………………………5,Perfectly clear and as vivid as normal vision …………………………………5,Clear and reasonably vivid ………………………………………………………..4,Clear and reasonably vivid ………………………………………………………..4,Perfectly clear and as vivid as normal vision …………………………………5,Clear and reasonably vivid ………………………………………………………..4,Clear and reasonably vivid ………………………………………………………..4,Moderately clear and vivid ………………………………………………………..3,Clear and reasonably vivid ………………………………………………………..4,Clear and reasonably vivid ………………………………………………………..4,Clear and reasonably vivid ………………………………………………………..4,Perfectly clear and as vivid as normal vision …………………………………5,Clear and reasonably vivid ………………………………………………………..4,Perfectly clear and as vivid as normal vision …………………………………5,Clear and reasonably vivid ………………………………………………………..4,Clear and reasonably vivid ………………………………………………………..4,Perfectly clear and as vivid as normal vision …………………………………5,Perfectly clear and as vivid as normal vision …………………………………5,Clear and reasonably vivid ………………………………………………………..4,Perfectly clear and as vivid as normal vision …………………………………5,Perfectly clear and as vivid as normal vision …………………………………5,Clear and reasonably vivid ………………………………………………………..4,5,5,4,3,5,5,5,5,5,4,5,5,4,4,5,4,4,3,4,4,4,5,4,5,4.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,
67896d4bcf7daeb9b9c6945e,Clear and reasonably vivid ………………………………………………………..4,Moderately clear and vivid ………………………………………………………..3,Moderately clear and vivid ………………………………………………………..3,Perfectly clear and as vivid as normal vision …………………………………5,Clear and reasonably vivid ………………………………………………………..4,Clear and reasonably vivid ………………………………………………………..4,Moderately clear and vivid ………………………………………………………..3,Clear and reasonably vivid ………………………………………………………..4,Moderately clear and vivid ………………………………………………………..3,Perfectly clear and as vivid as normal vision …………………………………5,Perfectly clear and as vivid as normal vision …………………………………5,Perfectly clear and as vivid as normal vision …………………………………5,Perfectly clear and as vivid as normal vision …………………………………5,Perfectly clear and as vivid as normal vision …………………………………5,Clear and reasonably vivid ………………………………………………………..4,Clear and reasonably vivid ………………………………………………………..4,Perfectly clear and as vivid as normal vision …………………………………5,Perfectly clear and as vivid as normal vision …………………………………5,Perfectly clear and as vivid as normal vision …………………………………5,Clear and reasonably vivid ………………………………………………………..4,Perfectly clear and as vivid as normal vision …………………………………5,Clear and reasonably vivid ………………………………………………………..4,Moderately clear and vivid ………………………………………………………..3,Moderately clear and vivid ………………………………………………………..3,Perfectly clear and as vivid as normal vision …………………………………5,Perfectly clear and as vivid as normal vision …………………………………5,Clear and reasonably vivid ………………………………………………………..4,Vague and dim ……………………………………………………………………….2,Perfectly clear and as vivid as normal vision …………………………………5,Perfectly clear and as vivid as normal vision …………………………………5,Perfectly clear and as vivid as normal vision …………………………………5,Moderately clear and vivid ………………………………………………………..3,4,3,3,5,4,4,3,4,3,5,5,5,5,5,4,4,5,5,5,4,5,4,3,3,5.0,5.0,4.0,2.0,5.0,5.0,5.0,3.0,
