VA_measure,VA_condition,MRT_measure,MRT_condition,pearson_r,p_value,r_lower_ci,r_upper_ci,n,p_value_fdr_corrected,significant_uncorrected,significant_fdr_corrected
d_prime,SS3_D1,accuracy,angle_0,0.19299423692175127,0.016129419931971974,0.03645223977931131,0.340291690696833,155,0.10689118046816747,True,False
d_prime,SS3_D1,accuracy,angle_50,0.18665952271701264,0.0200420963377814,0.029887953910375274,0.3344681858664447,155,0.10689118046816747,True,False
d_prime,SS3_D1,accuracy,angle_100,0.15503488391311593,0.05407843342820322,-0.0026817456521049257,0.30522581621015343,155,0.1442091558085419,False,False
d_prime,SS3_D1,accuracy,angle_150,0.18996086676467575,0.017911217756938866,0.03330725304220704,0.3375045216683596,155,0.10689118046816747,True,False
d_prime,SS3_D3,accuracy,angle_0,0.1694001854712891,0.03510044751319729,0.012071484108776833,0.31854418912278015,155,0.11868873220670392,True,False
d_prime,SS3_D3,accuracy,angle_50,0.17680482943363326,0.02775356678732505,0.019702934753349156,0.32538626797901055,155,0.11868873220670392,True,False
d_prime,SS3_D3,accuracy,angle_100,0.1676228790976783,0.03709022881459498,0.010242461760472676,0.31689959688470587,155,0.11868873220670392,True,False
d_prime,SS3_D3,accuracy,angle_150,0.1716227339021542,0.0327398439123458,0.014360186532859816,0.32059951384307817,155,0.11868873220670392,True,False
d_prime,SS5_D1,accuracy,angle_0,0.2610048692948915,0.00103722589392683,0.10778905724456114,0.4021100492992951,155,0.024244879950663954,True,True
d_prime,SS5_D1,accuracy,angle_50,0.1586938895870484,0.04858145466706209,0.0010695643293536657,0.30862374329286607,155,0.14132786812236245,True,False
d_prime,SS5_D1,accuracy,angle_100,0.2526587712666845,0.0015153049969164971,0.09894901762579474,0.3945924756353436,155,0.024244879950663954,True,True
d_prime,SS5_D1,accuracy,angle_150,0.22235411186300225,0.005422885815431582,0.06705354761241905,0.367135493527953,155,0.05784411536460354,True,False
d_prime,SS5_D3,accuracy,angle_0,0.04739363384382886,0.5581450144148121,-0.11108745751869502,0.20352405565712622,155,0.7709275884025676,False,False
d_prime,SS5_D3,accuracy,angle_50,0.04500241673745879,0.5781956913019257,-0.11345358401075867,0.2012258675445567,155,0.7709275884025676,False,False
d_prime,SS5_D3,accuracy,angle_100,0.002776167404520395,0.9726512443588843,-0.15494272962939315,0.1603570684999163,155,0.9726512443588843,False,False
d_prime,SS5_D3,accuracy,angle_150,0.10524260521251601,0.1924804581843038,-0.05329269026208939,0.25860304799273826,155,0.4126830198698657,False,False
d_prime,SS3_D1,rt,angle_0,0.0809705623865424,0.3165556471669406,-0.07767201227862762,0.23561401060459786,155,0.6331112943338812,False,False
d_prime,SS3_D1,rt,angle_50,0.05488129518993572,0.49761492986964606,-0.10366672311666043,0.21070930204964128,155,0.758270369325175,False,False
d_prime,SS3_D1,rt,angle_100,0.10501602128033993,0.19344516556399954,-0.05352115291778601,0.2583892414302475,155,0.4126830198698657,False,False
d_prime,SS3_D1,rt,angle_150,0.06543410328296205,0.4185604909819723,-0.09317818415114254,0.22080739171862357,155,0.758270369325175,False,False
d_prime,SS3_D3,rt,angle_0,0.05674586175319984,0.4830989632737814,-0.10181607348621545,0.21249594700650026,155,0.758270369325175,False,False
d_prime,SS3_D3,rt,angle_50,-0.03891640549201749,0.6306830618017294,-0.1953688597250563,0.11946763787368445,155,0.7762253068328977,False,False
d_prime,SS3_D3,rt,angle_100,0.013675535790016385,0.8658841372135708,-0.14428662474025286,0.17095804047346114,155,0.9236097463611422,False,False
d_prime,SS3_D3,rt,angle_150,0.057020359025315936,0.4809813516018626,-0.10154353232344207,0.2127588849271295,155,0.758270369325175,False,False
d_prime,SS5_D1,rt,angle_0,-0.06230471233004452,0.44120666182898366,-0.2178163160643243,0.09629219252489946,155,0.758270369325175,False,False
d_prime,SS5_D1,rt,angle_50,-0.11764660649089899,0.144868052386284,-0.2702846891700222,0.04076046646953933,155,0.3565982827970068,False,False
d_prime,SS5_D1,rt,angle_100,-0.031110006693287316,0.7007751315778191,-0.18783982523499995,0.1271647601141218,155,0.83054830409223,False,False
d_prime,SS5_D1,rt,angle_150,-0.039504176174818544,0.6255268251181544,-0.19593500114602794,0.11888732325541133,155,0.7762253068328977,False,False
d_prime,SS5_D3,rt,angle_0,0.015203407339786361,0.8510651132829007,-0.1427899202455134,0.1724411784215063,155,0.9236097463611422,False,False
d_prime,SS5_D3,rt,angle_50,0.007197058011548913,0.9291784699620569,-0.1506249285469709,0.16466131323440478,155,0.959151968993091,False,False
d_prime,SS5_D3,rt,angle_100,0.04523334850813727,0.5762447456194764,-0.11322515374837647,0.2014478900947284,155,0.7709275884025676,False,False
d_prime,SS5_D3,rt,angle_150,0.017015456831079457,0.8335574891041224,-0.14101389758435454,0.17419925033418113,155,0.9236097463611422,False,False
set_size_effect_delay1,effect,rt_by_angle_slope,overall,0.014865031172570658,0.8543427702603572,-0.1431214561822498,0.17211277081205792,155,0.8543427702603572,False,False
set_size_effect_delay3,effect,rt_by_angle_slope,overall,0.028303076380036152,0.7266477567931794,-0.1299277465112313,0.18512811664854703,155,0.7266477567931794,False,False
delay_effect_size3,effect,rt_by_angle_slope,overall,-0.012143570471806947,0.8807898872191645,-0.16947021262377682,0.14578661418138064,155,0.8807898872191645,False,False
delay_effect_size5,effect,rt_by_angle_slope,overall,0.005176612017546129,0.949028319109561,-0.15259900770318716,0.16269492083755813,155,0.949028319109561,False,False
