PROLIFIC_PID,Age,Sex,Colourblindness,Vision,Country_of_residence,Student_status,Employment_status,Time_taken_seconds,Time_taken_minutes,Included,Exclusion_reason
5eec6fe1a0f1c4000a8103b2,22,Female,"No, I have no issues seeing colours",Yes,United States,No,Full-Time,1774,29.566666666666666,True,
6757688470f9e929a8ea7d90,21,Male,"No, I have no issues seeing colours",Yes,United States,No,Part-Time,3122,52.03333333333333,True,
6699c7aea5e77f24097879b7,29,Female,"No, I have no issues seeing colours",Yes,United States,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",1676,27.933333333333334,True,
666640831e2f8d963f8c528f,25,Male,"No, I have no issues seeing colours",Yes,United Kingdom,No,Due to start a new job within the next month,2423,40.38333333333333,True,
6110b58d7063061e373e2fbc,28,Female,"No, I have no issues seeing colours",Yes,United States,No,Full-Time,2367,39.45,True,
5e80b109ca1800791e1ca40c,28,Female,"No, I have no issues seeing colours",Yes,United Kingdom,NA,NA,2184,36.4,True,
672ff021dad78d519a50f64a,23,Female,"No, I have no issues seeing colours",Yes,United States,No,Due to start a new job within the next month,3059,50.983333333333334,True,
673a70491f1992a774b72caa,23,Female,"No, I have no issues seeing colours",Yes,United Kingdom,Yes,Part-Time,5087,84.78333333333333,True,
6783e8710446ee858344b1b2,22,Female,"No, I have no issues seeing colours",Yes,United States,Yes,Part-Time,1903,31.716666666666665,True,
66c4a2414f979ae2a78a8adc,33,Male,"No, I have no issues seeing colours",Yes,United Kingdom,Yes,Unemployed (and job seeking),2289,38.15,True,
5f1273be29b0711c3cff250f,21,Female,"No, I have no issues seeing colours",Yes,United States,Yes,Other,1968,32.8,True,
6786d6d81286c8386e009009,19,Female,"No, I have no issues seeing colours",Yes,United States,No,Part-Time,2750,45.833333333333336,True,
673f18bb08e7ff5ef549e488,24,Female,"No, I have no issues seeing colours",Yes,United Kingdom,No,Part-Time,3608,60.13333333333333,True,
674e978e575eccb8dd86167b,25,Female,"No, I have no issues seeing colours",Yes,United States,Yes,Part-Time,2758,45.96666666666667,True,
63d5decffe6025fec6a381b0,33,Male,"No, I have no issues seeing colours",Yes,United Kingdom,No,Other,2108,35.13333333333333,True,
6655fd511b6c8d1fd05de12d,33,Female,"No, I have no issues seeing colours",Yes,United States,No,Full-Time,3056,50.93333333333333,True,
60641cdc8536a607a60e0612,22,Female,"No, I have no issues seeing colours",Yes,United States,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",2217,36.95,True,
653d3b418bce22526d2639b4,33,Male,"No, I have no issues seeing colours",Yes,United States,No,Unemployed (and job seeking),1735,28.916666666666668,True,
610b06f1534fdc7ce455d168,26,Female,"No, I have no issues seeing colours",Yes,United States,No,Unemployed (and job seeking),1972,32.86666666666667,True,
66e2a683a6aed2b156557f9d,20,Female,"No, I have no issues seeing colours",Yes,United Kingdom,Yes,Unemployed (and job seeking),2098,34.96666666666667,True,
66370a20a4b5b1a460904760,28,Male,"No, I have no issues seeing colours",Yes,United States,No,Unemployed (and job seeking),2157,35.95,True,
67719f52af5175c7f6b1c990,28,Female,"No, I have no issues seeing colours",Yes,United Kingdom,Yes,Part-Time,2724,45.4,True,
62ffa989dbd072768cd2a14e,29,Male,"No, I have no issues seeing colours",Yes,United States,NA,NA,5169,86.15,True,
678ba680eefc2d7fd8559a03,21,Male,"No, I have no issues seeing colours",Yes,United States,No,Full-Time,3007,50.11666666666667,True,
5d27851db6eb920018a5fb27,30,Female,"No, I have no issues seeing colours",Yes,United States,NA,NA,2205,36.75,True,
678c417ed431a331d3f547ec,22,Male,"No, I have no issues seeing colours",Yes,United States,Yes,Part-Time,1572,26.2,True,
6761934aa62aae0c93863233,32,Male,"No, I have no issues seeing colours",Yes,United States,No,Full-Time,1847,30.783333333333335,True,
676d592187581f23f60331bb,29,Male,"No, I have no issues seeing colours",Yes,United Kingdom,No,Full-Time,5771,96.18333333333334,True,
66bfd3867e3dd5e2c19650b9,28,Male,"No, I have no issues seeing colours",Yes,United Kingdom,No,Unemployed (and job seeking),2753,45.88333333333333,True,
62861bcc5f0edf6340c914df,32,Female,"No, I have no issues seeing colours",Yes,United Kingdom,No,NA,1786,29.766666666666666,True,
66972752027327f711a5e612,25,Male,"No, I have no issues seeing colours",Yes,United States,No,Full-Time,1983,33.05,True,
6776957e09a543d5a21c521a,23,Male,"No, I have no issues seeing colours",Yes,United States,Yes,Unemployed (and job seeking),3165,52.75,True,
671d2abf2ba7384f9b45678a,22,Male,"No, I have no issues seeing colours",Yes,United States,Yes,Part-Time,2218,36.96666666666667,True,
6766b76b0b5bf9820e277b72,35,Female,"No, I have no issues seeing colours",Yes,United States,No,Other,2764,46.06666666666667,True,
67529d0aecb73bfe140d521f,30,Male,"No, I have no issues seeing colours",Yes,United Kingdom,NA,NA,3018,50.3,True,
6705779b28e9a54f7b3b3535,32,Male,"No, I have no issues seeing colours",Yes,United States,No,Full-Time,1745,29.083333333333332,True,
66ae394dd6f0020399d3b887,28,Male,"No, I have no issues seeing colours",Yes,United States,No,Unemployed (and job seeking),1489,24.816666666666666,True,
6647e8618c77f7b938865d25,35,Male,"No, I have no issues seeing colours",Yes,United Kingdom,NA,Full-Time,1984,33.06666666666667,True,
678a5c44e1295faaebfc8ee4,24,Male,"No, I have no issues seeing colours",Yes,United States,Yes,Part-Time,2732,45.53333333333333,True,
678fa1020e5289062a7e76f0,25,Female,"No, I have no issues seeing colours",Yes,United States,No,Full-Time,2864,47.733333333333334,True,
64013a8e233aaa42388c821f,27,Male,"No, I have no issues seeing colours",Yes,United States,No,Other,2106,35.1,True,
5ec0260375bf15077a00e645,27,Female,"No, I have no issues seeing colours",Yes,United Kingdom,No,Unemployed (and job seeking),1973,32.88333333333333,True,
669adbdb7e97d6e53cb2d924,30,Male,"No, I have no issues seeing colours",Yes,United States,Yes,Full-Time,2175,36.25,True,
5eddaa6d115bb4ac7e59f153,33,Female,"No, I have no issues seeing colours",Yes,United Kingdom,No,Full-Time,1633,27.216666666666665,True,
6751f6e990f3b3698bf1748b,29,Female,"No, I have no issues seeing colours",Yes,United Kingdom,Yes,Part-Time,2786,46.43333333333333,True,
668ddafedbce64d6094e759e,32,Female,"No, I have no issues seeing colours",Yes,United States,No,Full-Time,1865,31.083333333333332,True,
667af5cc382d3037050e3632,28,Female,"No, I have no issues seeing colours",Yes,United States,No,Full-Time,2385,39.75,True,
678e9a84c6c7879d007bbf4e,29,Female,"No, I have no issues seeing colours",Yes,United States,No,Full-Time,2362,39.36666666666667,True,
5e4e844553bc702cdf68404d,26,Female,"No, I have no issues seeing colours",Yes,United States,No,Unemployed (and job seeking),2342,39.03333333333333,True,
673d1231929c7a0a6138a5c1,29,Female,"No, I have no issues seeing colours",Yes,United States,Yes,Unemployed (and job seeking),1799,29.983333333333334,True,
6761312f87e4c57c3259eb11,33,Female,"No, I have no issues seeing colours",Yes,United Kingdom,No,Part-Time,2246,37.43333333333333,True,
6535d3f1b4ff80adff474548,30,Female,"No, I have no issues seeing colours",Yes,United States,Yes,Full-Time,1498,24.966666666666665,True,
675aaec58dfc729c338a52eb,21,Female,"No, I have no issues seeing colours",Yes,United States,Yes,Part-Time,1792,29.866666666666667,True,
678dfec50cc874af0b76ab04,22,Male,"No, I have no issues seeing colours",Yes,United States,No,Full-Time,5129,85.48333333333333,True,
6643bef326f3a4026c0ab2b6,33,Female,"No, I have no issues seeing colours",Yes,United States,No,Full-Time,1828,30.466666666666665,True,
66a508e29deb15f57d4458f1,34,Male,"No, I have no issues seeing colours",Yes,United States,No,Full-Time,2382,39.7,True,
6636a7456e7f277f59dda9bd,31,Female,"No, I have no issues seeing colours",Yes,United States,No,Full-Time,1963,32.71666666666667,True,
61140d2c5d85c524932a2c59,27,Female,"No, I have no issues seeing colours",Yes,United States,No,Part-Time,1787,29.783333333333335,True,
63d7fb6ee49281f6c41d6630,29,Male,"No, I have no issues seeing colours",Yes,United States,NA,NA,1824,30.4,True,
67147a6a2c208253099ab82b,26,Female,"No, I have no issues seeing colours",Yes,United States,No,Full-Time,1947,32.45,True,
5e7987df47422a5443426cd7,22,Female,"No, I have no issues seeing colours",Yes,United Kingdom,Yes,Part-Time,1701,28.35,True,
6773f4dfb59cda6e2414cb19,35,Male,"No, I have no issues seeing colours",Yes,United States,No,Full-Time,2669,44.483333333333334,True,
677bbfba3b742e3a5bf9a5e7,28,Female,"No, I have no issues seeing colours",Yes,United Kingdom,No,Other,3176,52.93333333333333,True,
67704d25c22e3bfcf98ab4fc,19,Female,"No, I have no issues seeing colours",Yes,United States,Yes,Part-Time,1851,30.85,True,
67683d2ef4617ea5d90b7539,20,Female,"No, I have no issues seeing colours",Yes,United States,No,Full-Time,2226,37.1,True,
663a80393a72dac091c817b5,28,Female,"No, I have no issues seeing colours",Yes,United States,NA,Part-Time,1624,27.066666666666666,True,
66439d339e8b25efa8cb4b9a,33,Female,"No, I have no issues seeing colours",Yes,United States,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",2701,45.016666666666666,True,
678dbad423480901e47ad481,31,Male,"No, I have no issues seeing colours",Yes,United States,No,Full-Time,1719,28.65,True,
678f7fd7097858093f4a9540,22,Male,"No, I have no issues seeing colours",Yes,United Kingdom,Yes,Full-Time,3200,53.333333333333336,True,
656cef93133dd04969014614,28,Male,"No, I have no issues seeing colours",Yes,United States,No,Unemployed (and job seeking),3304,55.06666666666667,True,
66dd9c5b1c02410a87c068e5,24,Male,"No, I have no issues seeing colours",Yes,United States,No,Part-Time,2409,40.15,True,
664993e12a5b629050529e17,32,Female,"No, I have no issues seeing colours",Yes,United States,No,Other,2452,40.86666666666667,True,
5d96eeed1998fb00177f6b71,28,Female,"No, I have no issues seeing colours",Yes,United States,NA,NA,5067,84.45,True,
66ace0fa42d9a6710036025c,32,Female,"No, I have no issues seeing colours",Yes,United States,Yes,Full-Time,1707,28.45,True,
61008f090e777a2b47f1ad76,21,Male,"No, I have no issues seeing colours",Yes,United States,No,Full-Time,1450,24.166666666666668,True,
56c15833eb5b22000d5babba,35,Female,"No, I have no issues seeing colours",Yes,United States,NA,Part-Time,2295,38.25,True,
55a9f6a1fdf99b2d81b5295f,31,Female,"No, I have no issues seeing colours",Yes,United States,No,Other,4838,80.63333333333334,True,
651d64f5eb4ac4993ecc5abd,30,Female,"No, I have no issues seeing colours",Yes,United States,Yes,Full-Time,1576,26.266666666666666,True,
651b43625c3bc6e2217a7e24,29,Female,"No, I have no issues seeing colours",Yes,United States,Yes,Unemployed (and job seeking),1717,28.616666666666667,True,
6742ecbc50ae979ed5099784,19,Male,"No, I have no issues seeing colours",Yes,United Kingdom,Yes,Other,2379,39.65,True,
670d6526115bb30df10ebd72,30,Female,"No, I have no issues seeing colours",Yes,United Kingdom,No,Part-Time,5709,95.15,True,
661ae93e33b51f5d31a8c3bb,27,Male,"No, I have no issues seeing colours",Yes,United States,No,Full-Time,2985,49.75,True,
677f7658861507001fe69579,21,Female,"No, I have no issues seeing colours",Yes,United States,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)",1752,29.2,True,
667998e5c55fe7def1eb7496,32,Female,"No, I have no issues seeing colours",Yes,United States,No,Full-Time,1455,24.25,True,
655f8b959477c803eb906622,21,Female,"No, I have no issues seeing colours",Yes,United States,Yes,Unemployed (and job seeking),2527,42.11666666666667,True,
66ee186efc9a208ef9446a30,28,Male,"No, I have no issues seeing colours",Yes,United States,No,Unemployed (and job seeking),2380,39.666666666666664,True,
6779d0e560ce37d982f31caf,27,Male,"No, I have no issues seeing colours",Yes,United States,Yes,NA,2090,34.833333333333336,True,
678a318061025ebe627384b6,27,Male,"No, I have no issues seeing colours",Yes,United Kingdom,No,Full-Time,5058,84.3,True,
677d3cc83d0aa6a39541f5d6,27,Female,"No, I have no issues seeing colours",Yes,United States,No,Full-Time,2333,38.88333333333333,True,
669b00d76af70db9da1b0301,20,Female,"No, I have no issues seeing colours",Yes,United States,Yes,Unemployed (and job seeking),3770,62.833333333333336,True,
677614004b333b9a50de9d41,24,Female,"No, I have no issues seeing colours",Yes,United States,No,Unemployed (and job seeking),3946,65.76666666666667,True,
6784b7b57a26bfddbafe40e6,27,Male,"No, I have no issues seeing colours",Yes,United Kingdom,Yes,Part-Time,4588,76.46666666666667,True,
67352f08f3ab886418574a6a,22,Female,"No, I have no issues seeing colours",Yes,United States,Yes,Part-Time,1565,26.083333333333332,True,
60d3d517873ac00f2ed811e5,23,Female,"No, I have no issues seeing colours",Yes,United Kingdom,No,Unemployed (and job seeking),1694,28.233333333333334,True,
674e0771f3216542d0539c7b,22,Female,"No, I have no issues seeing colours",Yes,United States,Yes,Part-Time,1721,28.683333333333334,True,
666dd3d9e53e0ff59d7cc164,20,Female,"No, I have no issues seeing colours",Yes,United States,Yes,Unemployed (and job seeking),3109,51.81666666666667,True,
62964d27c2b2866faa677493,35,Male,"No, I have no issues seeing colours",Yes,United States,No,Full-Time,2549,42.483333333333334,True,
