task,measure,spearman_brown_r,r_lower_ci,r_upper_ci,reliability_interpretation,sample_size,limitations_noted
VA,d_prime_set_size_3.0_delay_1.0,0.6097703467196813,0.5142977824858653,0.690314177213919,Questionable,199,None
VA,d_prime_set_size_3.0_delay_3.0,0.5521344706323,0.44740144001800497,0.64192828048666,Poor,199,Low reliability
VA,d_prime_set_size_5.0_delay_1.0,0.4128254995575443,0.29040857618645327,0.5219472611069785,Unacceptable,199,Low reliability
VA,d_prime_set_size_5.0_delay_3.0,0.2736769079599455,0.1399103418677997,0.39763290613668795,Unacceptable,199,Low reliability
VA,overall_d_prime,0.7700641957142137,0.7066624426291285,0.8211980290771687,Acceptable,199,None
VA,set_size_effect,0.10746447502791351,-0.03210790567075412,0.24292579040933698,Unacceptable,199,Low reliability
VA,delay_effect,0.07928095031055275,-0.06047841613201381,0.21599157668319197,Unacceptable,199,Low reliability
VA,mean_rt,0.9764160419247254,0.9689138109265389,0.9821241491774411,Excellent,199,None
MRT,accuracy_angle_0.0,0.5744525737645121,0.48126002450051897,0.6548045506826055,Poor,232,Low reliability
MRT,rt_angle_0.0,0.889720303070893,0.859404343014036,0.9138024140542975,Good,232,None
MRT,accuracy_angle_50.0,0.7526644021708709,0.6908357238308012,0.8035646905203702,Acceptable,232,None
MRT,rt_angle_50.0,0.9180491916151833,0.8950885159963236,0.9361540462257288,Excellent,232,None
MRT,accuracy_angle_100.0,0.6776290765615337,0.6013099843266695,0.7416954241567886,Questionable,232,None
MRT,rt_angle_100.0,0.9142845794220041,0.8903294575968301,0.9331921563635558,Excellent,232,None
MRT,accuracy_angle_150.0,0.6861399485430064,0.6113689873225714,0.748768184132656,Questionable,232,None
MRT,rt_angle_150.0,0.9137165919181567,0.8896118867236756,0.9327450568228005,Excellent,232,None
MRT,overall_accuracy,0.8679137285733814,0.8321356327002971,0.8964969865798605,Good,232,None
MRT,rt_slope,0.7457138450809775,0.682462462979984,0.7978795646660117,Acceptable,232,None
MRT,rt_intercept,0.9209305813912693,0.8987345808448178,0.9384193069975866,Excellent,232,None
MRT,overall_rt,0.9763793192300377,0.9695015017304431,0.981720492934418,Excellent,232,None
